ep-2364 CC(C)CC(=O)F
ep-2365 CC=CCC(C)C
ep-2367 CC(C)CC=CF
ep-2368 CC#CCC(C)C
ep-2370 CC(C)CC#CF
ep-2385 COC(F)C(C)C
ep-2391 C=C(OC)C(C)C
ep-2400 COC(=O)C(C)C
ep-2414 COCC(C)CF
ep-2418 C=CC(C)COC
ep-2424 COCC(C)C=O
ep-2426 C#CC(C)COC
ep-2430 CCOCC(C)C
ep-2432 CC(C)COCF
ep-2433 C=COCC(C)C
ep-2434 CC(C)COC=O
ep-2435 C#COCC(C)C
ep-2436 CC(C)C(F)(F)F
ep-2437 CC(CF)C(F)F
ep-2438 C=CC(C)C(F)F
ep-2439 CC(C=O)C(F)F
ep-2440 C#CC(C)C(F)F
ep-2441 C=C(F)C(C)CF
ep-2442 C=CC(C)C(=C)F
ep-2443 C=C(F)C(C)C=O
ep-2444 C#CC(C)C(=C)F
ep-2445 CC=C(F)C(C)C
ep-2447 CC(C)C(F)=CF
ep-2448 CC(CF)C(=O)F
ep-2449 C=CC(C)C(=O)F
ep-2450 CC(C=O)C(=O)F
ep-2451 C#CC(C)C(=O)F
ep-2452 FCC(CF)CF
ep-2453 C=CC(CF)CF
ep-2454 O=CC(CF)CF
ep-2455 C#CC(CF)CF
ep-2456 C=CC(C=C)CF
ep-2457 C=CC(C=O)CF
ep-2458 C#CC(C=C)CF
ep-2459 CC=CC(C)CF
ep-2461 CC(C=CF)CF
ep-2462 O=CC(C=O)CF
ep-2463 C#CC(C=O)CF
ep-2464 C#CC(C#C)CF
ep-2465 CC#CC(C)CF
ep-2467 CC(C#CF)CF
ep-2468 C=CC(C=C)C=C
ep-2469 C=CC(C=C)C=O
ep-2470 C#CC(C=C)C=C
ep-2471 C=CC(C)C=CC
ep-2473 C=CC(C)C=CF
ep-2474 C=CC(C=O)C=O
ep-2475 C#CC(C=C)C=O
ep-2476 CC=CC(C)C=O
ep-2478 CC(C=O)C=CF
ep-2479 C#CC(C#C)C=C
ep-2480 C#CC(C)C=CC
ep-2482 C#CC(C)C=CF
ep-2483 C=CC(C)C#CC
ep-2485 C=CC(C)C#CF
ep-2486 CC(C)=CC(C)C
ep-2488 CC(F)=CC(C)C
ep-2489 CCC=CC(C)C
ep-2491 CC(C)C=CCF
ep-2492 C=CC=CC(C)C
ep-2493 CC(C)C=CC=O
ep-2494 C#CC=CC(C)C
ep-2497 COC=CC(C)C
ep-2498 CC(C)C=C(F)F
ep-2499 O=CC(C=O)C=O
ep-2500 C#CC(C=O)C=O
ep-2501 C#CC(C#C)C=O
ep-2502 CC#CC(C)C=O
ep-2504 CC(C#CF)C=O
ep-2505 C#CC(C#C)C#C
ep-2506 C#CC(C)C#CC
ep-2508 C#CC(C)C#CF
ep-2509 CCC#CC(C)C
ep-2511 CC(C)C#CCF
ep-2512 C=CC#CC(C)C
ep-2513 CC(C)C#CC=O
ep-2514 C#CC#CC(C)C
ep-2515 COC#CC(C)C
ep-2567 COC(C)(C)OC
ep-2584 CCC(C)(F)OC
ep-2609 COC(C)(F)CF
ep-2613 C=CC(C)(F)OC
ep-2619 COC(C)(F)C=O
ep-2621 C#CC(C)(F)OC
ep-2625 CCOC(C)(C)F
ep-2627 CC(C)(F)OCF
ep-2628 C=COC(C)(C)F
ep-2629 CC(C)(F)OC=O
ep-2630 C#COC(C)(C)F
ep-2645 COC(C)C(C)F
ep-2658 C=C(C)C(C)OC
ep-2674 COC(C)C(C)=O
ep-2681 CCC(CC)OC
ep-2703 CCC(CF)OC
ep-2710 C=CC(CC)OC
ep-2720 CCC(C=O)OC
ep-2727 C#CC(CC)OC
ep-2737 CCCC(C)OC
ep-2739 COC(C)CCF
ep-2740 C=CCC(C)OC
ep-2741 COC(C)CC=O
ep-2742 C#CCC(C)OC
ep-2743 CCOC(C)CC
ep-2745 CCC(C)OCF
ep-2746 C=COC(C)CC
ep-2747 CCC(C)OC=O
ep-2748 C#COC(C)CC
ep-2826 COCC(C)OC
ep-2844 COC(C)C(F)F
ep-2849 C=C(F)C(C)OC
ep-2857 COC(C)C(=O)F
ep-2858 COC(CF)CF
ep-2859 C=CC(CF)OC
ep-2863 COC(C=O)CF
ep-2864 C#CC(CF)OC
ep-2868 CCOC(C)CF
ep-2870 CC(CF)OCF
ep-2871 C=COC(C)CF
ep-2872 CC(CF)OC=O
ep-2873 C#COC(C)CF
ep-2874 C=CC(C=C)OC
ep-2878 C=CC(C=O)OC
ep-2882 C#CC(C=C)OC
ep-2889 CC=CC(C)OC
ep-2891 COC(C)C=CF
ep-2892 C=CC(C)OCC
ep-2894 C=CC(C)OCF
ep-2895 C=COC(C)C=C
ep-2896 C=CC(C)OC=O
ep-2897 C#COC(C)C=C
ep-2911 COC(C=O)C=O
ep-2912 C#CC(C=O)OC
ep-2916 CCOC(C)C=O
ep-2918 CC(C=O)OCF
ep-2919 C=COC(C)C=O
ep-2920 CC(C=O)OC=O
ep-2921 C#COC(C)C=O
