ep-1212 COC(F)OC
ep-1218 C=C(OC)OC
ep-1230 COC(=O)OC
ep-1237 COCOCF
ep-1238 C=COCOC
ep-1239 COCOC=O
ep-1240 C#COCOC
ep-1248 COC(F)(F)F
ep-1249 FCOC(F)F
ep-1250 C=COC(F)F
ep-1251 O=COC(F)F
ep-1252 C#COC(F)F
ep-1254 COC(F)=CF
ep-1255 C=C(F)OCF
ep-1256 C=COC(=C)F
ep-1257 C=C(F)OC=O
ep-1258 C#COC(=C)F
ep-1262 O=C(F)OCF
ep-1263 C=COC(=O)F
ep-1264 O=COC(=O)F
ep-1265 C#COC(=O)F
ep-1267 FC=COCF
ep-1269 FC#COCF
ep-1273 COC=COC
ep-1274 COC=C(F)F
ep-1275 C=COC=CF
ep-1276 O=COC=CF
ep-1277 C#COC=CF
ep-1279 C=COC#CF
ep-1281 O=COC#CF
ep-1283 COC#COC
ep-1284 C#COC#CF
ep-1291 CC1(C)COC1
ep-1296 CC1(C)CC1=O
ep-1297 CC1(C=O)CC1
ep-1300 CC1OC1(C)C
ep-1302 CCC1(C)CO1
ep-1304 CC1(C)CCO1
ep-1311 CC1(C)OC1F
ep-1313 CC1(CF)CO1
ep-1315 C=C1OC1(C)C
ep-1317 C=CC1(C)CO1
ep-1319 CC1(C)OC1=O
ep-1321 CC1(C=O)CO1
ep-1323 C#CC1(C)CO1
ep-1324 COC1(C)CC1
ep-1330 CC1(F)COC1
ep-1335 CC1(F)CC1=O
ep-1336 O=CC1(F)CC1
ep-1342 CC1COC1C
ep-1343 CC(C)C1CO1
ep-1348 CC(=O)C1CC1
ep-1349 CC1CCC1=O
ep-1360 CCC1COC1
ep-1361 CC1CCOC1
ep-1371 CC1C(=O)C1C
ep-1372 CC1CC1C=O
ep-1373 CCC1CC1=O
ep-1374 O=CC1CCC1
ep-1386 O=CCC1CC1
ep-1387 CC1CC(=O)C1
ep-1394 CC1COC1F
ep-1396 C=C1OCC1C
ep-1398 CC1COC1=O
ep-1405 FCC1COC1
ep-1409 C=CC1COC1
ep-1410 CC1C=COC1
ep-1414 O=CC1COC1
ep-1416 C#CC1COC1
ep-1417 CC1C#COC1
ep-1418 COC1CC1C
ep-1419 COCC1CC1
ep-1423 O=C(F)C1CC1
ep-1429 CC1C(=O)C1F
ep-1430 O=CC1CC1F
ep-1431 O=C1CC1CF
ep-1436 C=C1C(=O)C1C
ep-1437 C=C1CC1C=O
ep-1438 C=CC1CC1=O
ep-1447 CC1C(=O)C1=O
ep-1448 O=CC1CC1=O
ep-1449 C#CC1CC1=O
ep-1473 COC1(C)CO1
ep-1474 CC1(C)OCO1
ep-1475 CC1OC1(C)F
ep-1476 CCC1(F)CO1
ep-1478 CC1(F)CCO1
ep-1484 CC1(F)OC1F
ep-1485 FCC1(F)CO1
ep-1487 C=C1OC1(C)F
ep-1488 C=CC1(F)CO1
ep-1490 CC1(F)OC1=O
ep-1491 O=CC1(F)CO1
ep-1492 C#CC1(F)CO1
ep-1493 COC1(F)CC1
ep-1497 CC(F)C1CO1
ep-1499 CC1OCC1F
ep-1500 C=C(C)C1CO1
ep-1502 C=C1COC1C
ep-1503 CC(=O)C1CO1
ep-1505 CC1OCC1=O
ep-1506 CCC1OC1C
ep-1507 CCC1CCO1
ep-1515 CC1OC1CF
ep-1516 CCC1OC1F
ep-1517 FCC1CCO1
ep-1518 C=CC1OC1C
ep-1519 C=C1OC1CC
ep-1520 C=CC1CCO1
ep-1522 CC1OC1C=O
ep-1523 CCC1OC1=O
ep-1524 O=CC1CCO1
ep-1525 C#CC1OC1C
ep-1526 C#CC1CCO1
ep-1528 COC1CCC1
ep-1529 CC1CCCO1
ep-1530 CC1CC=CO1
ep-1531 CC1CC#CO1
ep-1532 CCCC1CO1
ep-1533 CC1CC(C)O1
ep-1537 FCCC1CO1
ep-1539 CC1CC(F)O1
ep-1540 C=CCC1CO1
ep-1542 C=C1CC(C)O1
ep-1543 O=CCC1CO1
ep-1545 CC1CC(=O)O1
ep-1546 C#CCC1CO1
ep-1572 COC1COC1
ep-1573 CC1COCO1
ep-1574 COC1OC1C
ep-1575 COCC1CO1
ep-1577 CC1OC1(F)F
ep-1578 FC(F)C1CO1
ep-1579 C=C(F)C1CO1
ep-1580 O=C(F)C1CO1
ep-1582 FCC1OC1F
ep-1584 C=CC1OC1F
ep-1585 C=C1OC1CF
ep-1587 O=CC1OC1F
ep-1588 O=C1OC1CF
ep-1589 C#CC1OC1F
ep-1590 COC1CC1F
ep-1592 C=CC1OC1=C
ep-1595 C=C1OC1C=O
ep-1596 C=CC1OC1=O
ep-1597 C#CC1OC1=C
ep-1599 C=C1CC1OC
ep-1600 CC1C=CCO1
ep-1602 CC=C1OC1C
ep-1603 CC=CC1CO1
ep-1608 CC1OC1=CF
ep-1609 FC=CC1CO1
ep-1611 O=CC1OC1=O
ep-1612 C#CC1OC1=O
ep-1613 COC1CC1=O
ep-1615 CC1C#CCO1
ep-1616 CC#CC1CO1
ep-1618 FC#CC1CO1
ep-1619 CCOC1CC1
ep-1621 FCOC1CC1
ep-1622 C=COC1CC1
ep-1623 O=COC1CC1
ep-1624 C#COC1CC1
ep-1626 FC1(F)COC1
ep-1629 O=C1CC1(F)F
ep-1632 O=C1CCC1F
ep-1636 FC1CCOC1
ep-1641 O=C1CC(F)C1
ep-1643 FC1COC1F
ep-1644 C=C1OCC1F
ep-1645 O=C1OCC1F
ep-1646 FC1C=COC1
ep-1647 FC1C#COC1
ep-1650 O=C1C(F)C1F
ep-1653 C=C1C(=O)C1F
ep-1658 O=C1C(=O)C1F
ep-1661 C=C1CCC1=O
ep-1665 C=C1CCOC1
ep-1673 CC1=COCC1
ep-1676 C=C1CC(=O)C1
ep-1678 C=C1COC1F
ep-1679 C=C1COC1=C
ep-1680 C=C1COC1=O
ep-1681 C=C1C=COC1
ep-1682 C=C1C#COC1
ep-1683 CC=C1COC1
ep-1684 CC1=CCOC1
ep-1686 FC=C1COC1
ep-1689 C=c1c(=C)c1=O
ep-1694 Cc1ccoc1
ep-1696 C=C1C(=O)C1=O
ep-1697 CC=C1CC1=O
ep-1699 O=C1CC1=CF
ep-1702 Cc1c#coc1
ep-1705 CC(C)=C1CO1
ep-1711 O=CC=C1CC1
ep-1715 COC=C1CC1
ep-1717 O=C1CCC1=O
ep-1718 O=C1CCCC1
ep-1719 O=C1CC=CC1
ep-1720 O=C1CC#CC1
ep-1721 O=C1CCOC1
ep-1722 O=C1C=CCC1
ep-1723 O=C1C#CCC1
ep-1724 O=C1CC(=O)C1
ep-1726 O=C1COC1F
ep-1727 C=C1OCC1=O
ep-1728 O=C1COC1=O
ep-1729 O=C1C=COC1
ep-1730 O=C1C#COC1
ep-1731 O=C1C=CC=C1
ep-1732 O=C1C#CC=C1
ep-1733 O=C1C(=O)C1=O
ep-1734 O=C1C#CC#C1
ep-1739 C1CCOCC1
ep-1742 FC1CCCO1
ep-1743 C=C1CCCO1
ep-1744 O=C1CCCO1
ep-1745 C1=COCCC1
ep-1746 C1#COCCC1
ep-1758 COC1CCO1
ep-1759 CCC1OCO1
ep-1760 FC1(F)CCO1
ep-1761 FC1CC(F)O1
ep-1762 C=C1CC(F)O1
ep-1763 FC1CC=CO1
ep-1764 O=C1CC(F)O1
ep-1765 FC1CC#CO1
ep-1767 C=C1CC(=C)O1
ep-1768 C=C1CC=CO1
ep-1770 C=C1CC(=O)O1
ep-1771 C=C1CC#CO1
ep-1773 CC=C1CCO1
ep-1775 FC=C1CCO1
ep-1776 O=C1CC=CO1
ep-1777 O=C1CC(=O)O1
ep-1778 O=C1CC#CO1
ep-1779 C1COCOC1
ep-1780 FC1=COCC1
ep-1781 C1=CCOCC1
ep-1782 CC1=CCCO1
ep-1784 FC1=CCCO1
ep-1785 C1#CCOCC1
ep-1790 C1=COC=CC1
ep-1794 C1#COC=CC1
ep-1796 CCC=C1CO1
ep-1798 C1#COC#CC1
ep-1809 COC1(F)CO1
ep-1810 CC1(F)OCO1
ep-1815 COC1OC1F
ep-1816 FCC1OCO1
ep-1817 C=C1OC1OC
ep-1818 C=CC1OCO1
ep-1823 COC1OC1=O
ep-1824 O=CC1OCO1
ep-1825 C#CC1OCO1
ep-1827 CC1OCCO1
ep-1828 CC1OC=CO1
ep-1829 CC1OC#CO1
ep-1830 CCOC1CO1
ep-1831 CC1OC(C)O1
ep-1834 FCOC1CO1
ep-1835 CC1OC(F)O1
ep-1836 C=COC1CO1
ep-1837 C=C1OC(C)O1
ep-1838 O=COC1CO1
ep-1839 CC1OC(=O)O1
ep-1840 C#COC1CO1
ep-1841 FC1OC1(F)F
ep-1842 C=C1OC1(F)F
ep-1843 O=C1OC1(F)F
ep-1844 FC1COCO1
ep-1845 FC1C=CCO1
ep-1846 CC=C1OC1F
ep-1848 FC=C1OC1F
ep-1849 FC1C#CCO1
ep-1850 C=C1COCO1
ep-1852 C=C1C=CCO1
ep-1853 C=C1OC1=CC
ep-1856 C=C1OC1=CF
ep-1857 CC=C1OC1=O
ep-1859 O=C1OC1=CF
ep-1860 C=C1C#CCO1
ep-1862 Cc1ccco1
ep-1863 Cc1cc#co1
ep-1864 CC1=COCO1
ep-1866 CC(F)=C1CO1
ep-1868 FCC=C1CO1
ep-1869 C=CC=C1CO1
ep-1870 O=CC=C1CO1
ep-1871 C#CC=C1CO1
ep-1874 COC=C1CO1
ep-1875 FC(F)=C1CO1
ep-1876 O=C1COCO1
ep-1877 O=C1C=CCO1
ep-1878 O=C1C#CCO1
ep-1879 C1COCCO1
ep-1880 C1=COCCO1
ep-1881 C1#COCCO1
ep-1883 FC1OCCO1
ep-1884 C=C1OCCO1
ep-1885 O=C1OCCO1
ep-1886 FC1=CCOC1
ep-1887 C1=CCOC=C1
ep-1888 C1#COCC=C1
ep-1889 C1=COCOC1
ep-1890 C1#CCOC=C1
ep-1891 C1#CCOC#C1
ep-1892 C1#COCOC1
ep-1893 Fc1ccoc1
ep-1894 Fc1c#coc1
ep-1898 Fc1ccco1
ep-1901 Fc1cc#co1
ep-1902 CC=C1OCO1
ep-1906 COC1OCO1
ep-1913 FC1(F)OCO1
ep-1914 FC1OC=CO1
ep-1915 FC1OC#CO1
ep-1916 FC1OC(F)O1
ep-1917 C=C1OC(F)O1
ep-1918 O=C1OC(F)O1
ep-1919 C=C1OC=CO1
ep-1920 C=C1OC#CO1
ep-1923 FC=C1OCO1
ep-1924 C=c1oc(=C)o1
ep-1925 C=C1OC(=O)O1
ep-1926 O=c1occo1
ep-1927 O=c1oc#co1
ep-1928 O=C1OC(=O)O1
ep-1929 C1OCOCO1
ep-1930 FC1=COCO1
ep-1931 C1=COC=CO1
ep-1932 C1#COC=CO1
ep-1933 C1#COC#CO1
ep-1935 CC12COC1C2
ep-1937 CC12CC1CO2
ep-1938 CC12CCC1O2
ep-1940 CC12COC1O2
ep-1942 FC12COC1C2
ep-1947 CC1OC2CC12
ep-1948 C1CC1C1CO1
ep-1949 C1CC2OCC12
ep-1950 CC1CC2OC12
ep-1953 O=C1CC2CC12
ep-1961 CC1C2COC12
ep-1962 C1OCC2CC12
ep-1963 C1CC2CC2O1
ep-1964 C1OC2CC1C2
ep-1969 O=C1C2CCC12
ep-1973 C1OC2OCC12
ep-1974 FC12CC1CO2
ep-1975 FC1OC2CC12
ep-1976 C=C1OC2CC12
ep-1977 O=C1OC2CC12
ep-1979 FC1C2COC12
ep-1980 C=C1C2COC12
ep-1981 C1=CC2CC2O1
ep-1982 C1=C2CC2CO1
ep-1983 O=C1C2COC12
ep-1984 C1#CC2CC2O1
ep-1987 CC12OC1(C)O2
ep-1989 CC12OCC1O2
ep-1990 CCC12OC1O2
ep-1994 CC12OC1(F)O2
ep-1995 FCC12OC1O2
ep-1996 C=CC12OC1O2
ep-1997 O=CC12OC1O2
ep-1998 C#CC12OC1O2
ep-1999 FC12CCC1O2
ep-2000 FC12COC1O2
ep-2002 CC1OC2OC12
ep-2003 C1OC1C1CO1
ep-2004 C1OC2COC12
ep-2005 FC1CC2OC12
ep-2006 C=C1CC2OC12
ep-2007 O=C1CC2OC12
ep-2008 C1CC2OC2C1
ep-2009 C1=CC2OC2C1
ep-2010 C1#CC2OC2C1
ep-2011 C1CC2CC1O2
ep-2012 C1=C2CC(C1)O2
ep-2013 C1OCC2OC12
ep-2014 C1CC2OC2O1
ep-2015 C1OC2CC1O2
ep-2016 C1=C2OC2CC1
ep-2017 C1=CC2CC1O2
ep-2018 C1#CC2CC1O2
ep-2019 C1=C2CC(C2)O1
ep-2022 FC12OCC1O2
ep-2023 FC1OC2OC12
ep-2024 C=C1OC2OC12
ep-2025 O=C1OC2OC12
ep-2026 C1=CC2OC2O1
ep-2027 C1=C2OC2CO1
ep-2028 C1#CC2OC2O1
ep-2029 C1OC2CC2O1
ep-2030 C1=CC2OC2=C1
ep-2031 C1#CC2OC2=C1
ep-2032 C1=C2CC2OC1
ep-2035 c1occ2c1C2
ep-2037 C1CC1=C1CO1
ep-2038 C1CC2OC1O2
ep-2039 C1=C2CC(O1)O2
ep-2040 C1=C2OC(C1)O2
ep-2041 c1cc2oc1C2
ep-2042 C1=C2OC2=CC1
ep-2045 COC12OC1O2
ep-2046 FC12OC1(F)O2
ep-2047 C1OC2OC2O1
ep-2048 C1OC2OC1O2
ep-2049 C1=C2OC2OC1
ep-2050 C1=CC2OC1O2
ep-2051 C1#CC2OC1O2
ep-2052 c1occ2c1O2
ep-2053 C1OC1=C1CO1
ep-2054 c1cc2oc1o2
ep-2055 C1=C2OC(O1)O2
ep-2058 C1C2OC3C1C23
ep-2059 C1C2C1C1OC21
ep-2060 O1C2OC3C1C23
ep-2061 C1CC23OC12O3
ep-2062 C1OC23OC12O3
ep-2063 O1C2C1C1OC21
