ep-11920 C=CC(C)OC(C)C
ep-11921 CC(C)OC(C)C=O
ep-11922 C#CC(C)OC(C)C
ep-11937 COC(C)OC(C)C
ep-11938 CC(C)OC(C)(F)F
ep-11939 CCC(C)OC(C)F
ep-11941 CC(F)OC(C)CF
ep-11942 C=CC(C)OC(C)F
ep-11943 CC(F)OC(C)C=O
ep-11944 C#CC(C)OC(C)F
ep-11945 CCC(F)OC(C)C
ep-11947 CC(C)OC(F)CF
ep-11948 C=CC(F)OC(C)C
ep-11949 CC(C)OC(F)C=O
ep-11950 C#CC(F)OC(C)C
ep-11951 C=C(C)OC(C)CC
ep-11953 C=C(C)OC(C)CF
ep-11954 C=CC(C)OC(=C)C
ep-11955 C=C(C)OC(C)C=O
ep-11956 C#CC(C)OC(=C)C
ep-11957 C=C(CC)OC(C)C
ep-11959 C=C(CF)OC(C)C
ep-11960 C=CC(=C)OC(C)C
ep-11961 C=C(C=O)OC(C)C
ep-11962 C#CC(=C)OC(C)C
ep-11963 CC=C(C)OC(C)C
ep-11965 CC(=CF)OC(C)C
ep-11966 CCC(C)OC(C)=O
ep-11968 CC(=O)OC(C)CF
ep-11969 C=CC(C)OC(C)=O
ep-11970 CC(=O)OC(C)C=O
ep-11971 C#CC(C)OC(C)=O
ep-11972 CCC(=O)OC(C)C
ep-11974 CC(C)OC(=O)CF
ep-11975 C=CC(=O)OC(C)C
ep-11976 CC(C)OC(=O)C=O
ep-11977 C#CC(=O)OC(C)C
ep-11978 CCOC(C)C(C)C
ep-11980 CCOC(C)C(C)F
ep-11981 C=C(C)C(C)OCC
ep-11982 CCOC(C)C(C)=O
ep-11983 CCOC(CC)CC
ep-11985 CCOC(CC)CF
ep-11986 C=CC(CC)OCC
ep-11987 CCOC(C=O)CC
ep-11988 C#CC(CC)OCC
ep-11989 CCCOC(C)CC
ep-11991 CCC(C)OCCF
ep-11992 C=CCOC(C)CC
ep-11993 CCC(C)OCC=O
ep-11994 C#CCOC(C)CC
ep-11995 CCCC(C)OCC
ep-11997 CCOC(C)CCF
ep-11998 C=CCC(C)OCC
ep-11999 CCOC(C)CC=O
ep-12000 C#CCC(C)OCC
ep-12016 CCOC(C)COC
ep-12017 CCOC(C)C(F)F
ep-12018 C=C(F)C(C)OCC
ep-12019 CCOC(C)C(=O)F
ep-12020 CCOC(CF)CF
ep-12021 C=CC(CF)OCC
ep-12022 CCOC(C=O)CF
ep-12023 C#CC(CF)OCC
ep-12024 CCCOC(C)CF
ep-12026 CC(CF)OCCF
ep-12027 C=CCOC(C)CF
ep-12028 CC(CF)OCC=O
ep-12029 C#CCOC(C)CF
ep-12030 C=CC(C=C)OCC
ep-12031 C=CC(C=O)OCC
ep-12032 C#CC(C=C)OCC
ep-12033 C=CC(C)OCCC
ep-12035 C=CC(C)OCCF
ep-12036 C=CCOC(C)C=C
ep-12037 C=CC(C)OCC=O
ep-12038 C#CCOC(C)C=C
ep-12039 CC=CC(C)OCC
ep-12041 CCOC(C)C=CF
ep-12042 CCOC(C=O)C=O
ep-12043 C#CC(C=O)OCC
ep-12044 CCCOC(C)C=O
ep-12046 CC(C=O)OCCF
ep-12047 C=CCOC(C)C=O
ep-12048 CC(C=O)OCC=O
ep-12049 C#CCOC(C)C=O
ep-12050 C#CC(C#C)OCC
ep-12051 C#CC(C)OCCC
ep-12053 C#CC(C)OCCF
ep-12054 C#CC(C)OCC=C
ep-12055 C#CC(C)OCC=O
ep-12056 C#CCOC(C)C#C
ep-12057 CC#CC(C)OCC
ep-12059 CCOC(C)C#CF
ep-12060 CC(C)COC(C)C
ep-12062 CC(F)COC(C)C
ep-12063 C=C(C)COC(C)C
ep-12064 CC(=O)COC(C)C
ep-12065 CCCCOC(C)C
ep-12067 CC(C)OCCCF
ep-12068 C=CCCOC(C)C
ep-12069 CC(C)OCCC=O
ep-12070 C#CCCOC(C)C
ep-12075 COCCOC(C)C
ep-12076 CC(C)OCC(F)F
ep-12077 C=C(F)COC(C)C
ep-12078 CC(C)OCC(=O)F
ep-12079 CC=CCOC(C)C
ep-12081 CC(C)OCC=CF
ep-12082 CC#CCOC(C)C
ep-12084 CC(C)OCC#CF
ep-12101 COC(F)OC(C)C
ep-12108 C=C(OC)OC(C)C
ep-12118 COC(=O)OC(C)C
ep-12130 CCC(C)OCOC
ep-12155 COCOC(C)CF
ep-12159 C=CC(C)OCOC
ep-12165 COCOC(C)C=O
ep-12167 C#CC(C)OCOC
ep-12171 CCOCOC(C)C
ep-12173 CC(C)OCOCF
ep-12174 C=COCOC(C)C
ep-12175 CC(C)OCOC=O
ep-12176 C#COCOC(C)C
ep-12177 CC(C)OC(F)(F)F
ep-12178 CCC(C)OC(F)F
ep-12180 CC(CF)OC(F)F
ep-12181 C=CC(C)OC(F)F
ep-12182 CC(C=O)OC(F)F
ep-12183 C#CC(C)OC(F)F
ep-12184 C=C(F)OC(C)CC
ep-12186 C=C(F)OC(C)CF
ep-12187 C=CC(C)OC(=C)F
ep-12188 C=C(F)OC(C)C=O
ep-12189 C#CC(C)OC(=C)F
ep-12190 CC=C(F)OC(C)C
ep-12192 CC(C)OC(F)=CF
ep-12193 CCC(C)OC(=O)F
ep-12195 CC(CF)OC(=O)F
ep-12196 C=CC(C)OC(=O)F
ep-12197 CC(C=O)OC(=O)F
ep-12198 C#CC(C)OC(=O)F
ep-12199 CC(C)C(C)OCF
ep-12201 CC(F)C(C)OCF
ep-12202 C=C(C)C(C)OCF
ep-12203 CC(=O)C(C)OCF
ep-12204 CCC(CC)OCF
ep-12206 CCC(CF)OCF
ep-12207 C=CC(CC)OCF
ep-12208 CCC(C=O)OCF
ep-12209 C#CC(CC)OCF
ep-12210 CCCC(C)OCF
ep-12212 CC(CCF)OCF
ep-12213 C=CCC(C)OCF
ep-12214 CC(CC=O)OCF
ep-12215 C#CCC(C)OCF
ep-12225 COCC(C)OCF
ep-12226 CC(OCF)C(F)F
ep-12227 C=C(F)C(C)OCF
ep-12228 CC(OCF)C(=O)F
ep-12229 FCOC(CF)CF
ep-12230 C=CC(CF)OCF
ep-12231 O=CC(CF)OCF
ep-12232 C#CC(CF)OCF
ep-12233 C=CC(C=C)OCF
ep-12234 C=CC(C=O)OCF
ep-12235 C#CC(C=C)OCF
ep-12236 CC=CC(C)OCF
ep-12238 CC(C=CF)OCF
ep-12239 O=CC(C=O)OCF
ep-12240 C#CC(C=O)OCF
ep-12241 C#CC(C#C)OCF
ep-12242 CC#CC(C)OCF
ep-12244 CC(C#CF)OCF
ep-12245 C=COC(C)C(C)C
ep-12247 C=COC(C)C(C)F
ep-12248 C=COC(C)C(=C)C
ep-12249 C=COC(C)C(C)=O
ep-12250 C=COC(CC)CC
ep-12252 C=COC(CC)CF
ep-12253 C=COC(C=C)CC
ep-12254 C=COC(C=O)CC
ep-12255 C#CC(CC)OC=C
ep-12256 CC=COC(C)CC
ep-12258 CCC(C)OC=CF
ep-12259 C=COC(C)CCC
ep-12261 C=COC(C)CCF
ep-12262 C=CCC(C)OC=C
ep-12263 C=COC(C)CC=O
ep-12264 C#CCC(C)OC=C
ep-12277 C=COC(C)COC
