ep-716802 FC(F)=C(F)C1(F)OC1(F)F
ep-716805 FC1(F)OC(F)(F)C(F)(F)O1
ep-716806 FC(F)=C1C(F)(F)OC1(F)F
ep-716807 FC1=C(F)C(F)(F)OC1(F)F
ep-716808 FCC1(F)OC1(F)C(F)(F)F
ep-716809 FC(F)C1(F)OC1(F)C(F)F
ep-716810 FC(F)C1OC1(F)C(F)(F)F
ep-716811 FC(F)C1(F)OC1C(F)(F)F
ep-716812 FC(F)(F)C1OC1C(F)(F)F
ep-716813 FC1(F)CC(F)(F)C(F)(F)O1
ep-716814 FC1C(F)C(F)(F)OC1(F)F
ep-716815 FC1OC(F)(F)C(F)(F)C1F
ep-716816 FC1OC(F)(F)C(F)C1(F)F
ep-716817 FC1(F)COC(F)(F)C1(F)F
ep-716818 FC1OC(F)C(F)(F)C1(F)F
ep-716819 FC(=C1OC1(F)F)C(F)(F)F
ep-716820 FC1=C(F)C(F)(F)C(F)(F)O1
ep-716821 FCC(F)(F)C1(F)OC1(F)F
ep-716822 FC(F)C(F)C1(F)OC1(F)F
ep-716823 FC(F)(F)CC1(F)OC1(F)F
ep-716824 FC(F)C(F)(F)C1OC1(F)F
ep-716825 FC(C1OC1(F)F)C(F)(F)F
ep-716826 FC(F)C(F)(F)C1(F)OC1F
ep-716827 FC1OC1(F)C(F)C(F)(F)F
ep-716828 FC1OC1C(F)(F)C(F)(F)F
ep-716829 FC(F)(F)C(F)(F)C1(F)CO1
ep-716840 FCC1(F)C(F)(F)OC1(F)F
ep-716841 FC(F)C1C(F)(F)OC1(F)F
ep-716842 FC(F)C1(F)C(F)OC1(F)F
ep-716843 FC1OC(F)(F)C1C(F)(F)F
ep-716844 FC(F)(F)C1(F)COC1(F)F
ep-716845 FC1OC(F)C1(F)C(F)(F)F
ep-716846 FC1(F)OC2(F)C(F)(F)C12F
ep-716847 FC1(F)C(F)(F)C2(F)OC12F
ep-716857 CC(F)(OCF)OC(F)(F)F
ep-716858 COC(F)(CF)OC(F)(F)F
ep-716859 CC(F)(OC(F)F)OC(F)F
ep-716860 FCOC(F)(CF)OC(F)F
ep-716861 COC(F)(OC(F)F)C(F)F
ep-716862 FCOC(F)(OCF)C(F)F
ep-716863 COC(F)(OCF)C(F)(F)F
ep-716864 CC(OC(F)F)OC(F)(F)F
ep-716865 FCOC(CF)OC(F)(F)F
ep-716866 COC(OC(F)(F)F)C(F)F
ep-716867 FCC(OC(F)F)OC(F)F
ep-716868 FCOC(OC(F)F)C(F)F
ep-716869 COC(OC(F)F)C(F)(F)F
ep-716870 FCOC(OCF)C(F)(F)F
ep-716874 C=C(OC(F)F)OC(F)(F)F
ep-716875 FC=C(OCF)OC(F)(F)F
ep-716876 COC(OC(F)(F)F)=C(F)F
ep-716877 FC=C(OC(F)F)OC(F)F
ep-716878 FCOC(OC(F)F)=C(F)F
ep-716879 CC(F)(F)OC(F)(F)OCF
ep-716880 COC(F)(F)OC(F)(F)CF
ep-716881 CC(F)OC(F)(F)OC(F)F
ep-716882 FCOC(F)(F)OC(F)CF
ep-716883 COC(F)(F)OC(F)C(F)F
ep-716884 CCOC(F)(F)OC(F)(F)F
ep-716885 FCCOC(F)(F)OC(F)F
ep-716886 FCOC(F)(F)OCC(F)F
ep-716887 COC(F)(F)OCC(F)(F)F
ep-716888 CC(F)(F)OC(F)OC(F)F
ep-716889 FCOC(F)OC(F)(F)CF
ep-716890 COC(F)OC(F)(F)C(F)F
ep-716891 CC(F)OC(F)OC(F)(F)F
ep-716892 FCC(F)OC(F)OC(F)F
ep-716893 FCOC(F)OC(F)C(F)F
ep-716894 COC(F)OC(F)C(F)(F)F
ep-716895 FCCOC(F)OC(F)(F)F
ep-716896 FC(F)COC(F)OC(F)F
ep-716897 FCOC(F)OCC(F)(F)F
ep-716898 CC(F)(F)OCOC(F)(F)F
ep-716899 FCC(F)(F)OCOC(F)F
ep-716900 FCOCOC(F)(F)C(F)F
ep-716901 COCOC(F)(F)C(F)(F)F
ep-716902 FCC(F)OCOC(F)(F)F
ep-716903 FC(F)OCOC(F)C(F)F
ep-716904 FCOCOC(F)C(F)(F)F
ep-716905 FC(F)COCOC(F)(F)F
ep-716906 FC(F)OCOCC(F)(F)F
ep-716907 C=C(F)OC(F)(F)OC(F)F
ep-716908 FC=C(F)OC(F)(F)OCF
ep-716909 COC(F)(F)OC(F)=C(F)F
ep-716910 C=COC(F)(F)OC(F)(F)F
ep-716911 FC=COC(F)(F)OC(F)F
ep-716912 FCOC(F)(F)OC=C(F)F
ep-716913 C=C(F)OC(F)OC(F)(F)F
ep-716914 FC=C(F)OC(F)OC(F)F
ep-716915 FCOC(F)OC(F)=C(F)F
ep-716916 FC=COC(F)OC(F)(F)F
ep-716917 FC(F)=COC(F)OC(F)F
ep-716918 FC=C(F)OCOC(F)(F)F
ep-716919 FC(F)=C(F)OCOC(F)F
ep-716920 FC(F)=COCOC(F)(F)F
ep-716921 C#COC(F)(F)OC(F)(F)F
ep-716922 FC#COC(F)(F)OC(F)F
ep-716923 FC#COC(F)OC(F)(F)F
ep-717015 COCC(F)(F)OC(F)(F)F
ep-717016 COC(F)C(F)(F)OC(F)F
ep-717017 FCOCC(F)(F)OC(F)F
ep-717018 COC(F)(F)C(F)(F)OCF
ep-717019 FCOC(F)C(F)(F)OCF
ep-717020 FCOC(F)(F)COC(F)F
ep-717021 COC(F)(F)C(F)OC(F)F
ep-717022 COC(F)(F)COC(F)(F)F
ep-717023 COC(F)C(F)OC(F)(F)F
ep-717024 FCOCC(F)OC(F)(F)F
ep-717025 FCOC(F)C(F)OC(F)F
ep-717026 FC(F)OCC(F)OC(F)F
ep-717027 FCOC(F)COC(F)(F)F
ep-717028 FC(F)OCCOC(F)(F)F
ep-717029 C=C(F)C(C)(F)OC(F)(F)F
ep-717030 CC(F)(C=CF)OC(F)(F)F
ep-717031 C=CC(F)(CF)OC(F)(F)F
ep-717032 CC(F)(OC(F)F)C(F)=CF
ep-717033 C=C(F)C(F)(CF)OC(F)F
ep-717034 CC(F)(C=C(F)F)OC(F)F
ep-717035 FC=CC(F)(CF)OC(F)F
ep-717036 C=CC(F)(OC(F)F)C(F)F
ep-717037 CC(F)(OCF)C(F)=C(F)F
ep-717038 FC=C(F)C(F)(CF)OCF
ep-717039 C=C(F)C(F)(OCF)C(F)F
ep-717040 FCOC(F)(C=C(F)F)CF
ep-717041 FC=CC(F)(OCF)C(F)F
ep-717042 C=CC(F)(OCF)C(F)(F)F
ep-717043 COC(F)(CF)C(F)=C(F)F
ep-717044 COC(F)(C(F)=CF)C(F)F
ep-717045 C=C(F)C(F)(OC)C(F)(F)F
