ep-667734 FC(F)C1(C(F)F)OC1F
ep-667735 FC(F)C1(C(F)(F)F)CO1
ep-667736 CC1(F)OC(F)(F)C1(F)F
ep-667737 FCC1(F)OC(F)(F)C1F
ep-667738 FC(F)C1(F)CC(F)(F)O1
ep-667739 FCC1(F)OC(F)C1(F)F
ep-667740 FC1OC(F)(C(F)F)C1F
ep-667741 FC1CC(F)(C(F)(F)F)O1
ep-667742 FC(F)C1(F)OCC1(F)F
ep-667743 FC1COC1(F)C(F)(F)F
ep-667744 FCC1OC(F)(F)C1(F)F
ep-667745 FC(F)C1OC(F)(F)C1F
ep-667746 FC1(F)CC(C(F)(F)F)O1
ep-667747 FC(F)C1OC(F)C1(F)F
ep-667748 FC1OC(C(F)(F)F)C1F
ep-667749 FC(F)(F)C1OCC1(F)F
ep-667750 FC1CC1(F)OC(F)(F)F
ep-667751 FC(F)OC1(F)CC1(F)F
ep-667752 FC(F)OC1(F)C(F)C1F
ep-667753 FCOC1(F)C(F)C1(F)F
ep-667754 COC1(F)C(F)(F)C1(F)F
ep-667755 FC(F)(F)OC1CC1(F)F
ep-667756 FC1C(F)C1OC(F)(F)F
ep-667757 FC(F)OC1C(F)C1(F)F
ep-667758 FCOC1C(F)(F)C1(F)F
ep-667761 FC(F)C1(F)OC(F)(F)O1
ep-667762 FC1OC(F)(C(F)(F)F)O1
ep-667763 FC1(F)OC(C(F)(F)F)O1
ep-667764 FC1OC1(F)OC(F)(F)F
ep-667765 FC(F)OC1(F)OC1(F)F
ep-667766 FC(F)(F)OC1OC1(F)F
ep-667768 FC=C1OC1(F)C(F)(F)F
ep-667769 FC(F)=C1OC1(F)C(F)F
ep-667770 FC(F)=C1OC1C(F)(F)F
ep-667771 FC=C1OC(F)(F)C1(F)F
ep-667772 FC(F)=C1OC(F)C1(F)F
ep-667773 FC(F)=C1OC(F)(F)C1F
ep-667774 FC=C(F)C1(F)OC1(F)F
ep-667775 FC(F)=C(F)C1(F)OC1F
ep-667776 FC(F)=CC1(F)OC1(F)F
ep-667777 FC(F)=C(F)C1OC1(F)F
ep-667785 FC1OC(F)(F)OC1(F)F
ep-667786 FC1OC(F)(F)C(F)(F)O1
ep-667787 FC=C1C(F)(F)OC1(F)F
ep-667788 FC(F)=C1C(F)OC1(F)F
ep-667789 FC1=CC(F)(F)OC1(F)F
ep-667790 FC1=C(F)C(F)(F)OC1F
ep-667791 CC1(F)OC1(F)C(F)(F)F
ep-667792 FCC1(F)OC1(F)C(F)F
ep-667793 FCC1OC1(F)C(F)(F)F
ep-667794 FC(F)C1OC1(F)C(F)F
ep-667795 FCC1(F)OC1C(F)(F)F
ep-667796 FC(F)C1OC1C(F)(F)F
ep-667797 FC1CC(F)(F)OC1(F)F
ep-667798 FC1CC(F)(F)C(F)(F)O1
ep-667799 FC1OC(F)(F)C(F)C1F
ep-667800 FC1OC(F)(F)CC1(F)F
ep-667801 FC1COC(F)(F)C1(F)F
ep-667802 FC1C(F)(F)COC1(F)F
ep-667803 FC1OC(F)C(F)(F)C1F
ep-667804 FC1OCC(F)(F)C1(F)F
ep-667805 FC(=C1OC1(F)F)C(F)F
ep-667806 FC(=C1OC1F)C(F)(F)F
