ep-923106 FC(OC(F)(F)F)=C(F)C(F)(F)C(F)(F)F
ep-923107 FC(F)=C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-923108 FC(OC(F)(F)C(F)(F)F)=C(F)C(F)(F)F
ep-923109 FC(F)(F)C1(F)OC1(C(F)(F)F)C(F)(F)F
ep-923110 FC(F)(F)C1(C(F)(F)F)OC(F)(F)C1(F)F
ep-923111 FC(F)(F)C1(F)OC(F)(C(F)(F)F)C1(F)F
ep-923112 FC(F)(F)C(F)(F)OC1(F)C(F)(F)C1(F)F
ep-923113 FC(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F
ep-923114 FC(F)(F)C(F)(C(F)(F)F)C1(F)OC1(F)F
ep-923115 FC(F)(F)C1(F)C(F)(F)OC(F)(F)C1(F)F
ep-923116 FC(F)(F)C(F)(F)C(F)(F)C1(F)OC1(F)F
ep-923117 FC(F)(F)C(F)(F)C1(F)OC(F)(F)C1(F)F
ep-923118 FC1(F)OC(F)(F)C(F)(F)C(F)(F)C1(F)F
ep-923119 FC(F)(F)OC1(C(F)(F)F)C(F)(F)C1(F)F
ep-923120 FC(F)(F)C(F)(F)C1(C(F)(F)F)OC1(F)F
ep-923121 FC(F)(F)OC1(F)C(F)(F)C1(F)C(F)(F)F
ep-923122 FC(F)(F)C1(F)OC(F)(F)C1(F)C(F)(F)F
ep-923123 FC(F)(F)OC1(F)C(F)(F)C(F)(F)C1(F)F
ep-923124 FC(F)(F)C(F)(F)C1(F)OC1(F)C(F)(F)F
ep-923125 FC(F)(F)C1(C(F)(F)F)C(F)(F)OC1(F)F
ep-923126 FC(F)(F)OC(F)(F)C1(F)C(F)(F)C1(F)F
ep-923127 FC(F)(F)C(F)(F)C1(F)C(F)(F)OC1(F)F
ep-923128 CC(OC(F)(F)CF)(C(F)(F)F)C(F)(F)F
ep-923129 CC(F)(F)OC(CF)(C(F)(F)F)C(F)(F)F
ep-923130 CC(OC(F)(F)C(F)F)(C(F)F)C(F)(F)F
ep-923131 FCC(F)(F)OC(CF)(C(F)F)C(F)(F)F
ep-923132 CC(F)(F)OC(C(F)F)(C(F)F)C(F)(F)F
ep-923133 CC(CF)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-923134 FCC(CF)(OC(F)(F)C(F)F)C(F)(F)F
ep-923135 CC(OC(F)(F)C(F)(F)F)(C(F)F)C(F)F
ep-923136 FCC(OC(F)(F)C(F)F)(C(F)F)C(F)F
ep-923137 FCC(F)(F)OC(C(F)F)(C(F)F)C(F)F
ep-923138 FCC(CF)(OC(F)(F)C(F)(F)F)C(F)F
ep-923139 CC(OC(F)C(F)F)(C(F)(F)F)C(F)(F)F
ep-923140 FCC(F)OC(CF)(C(F)(F)F)C(F)(F)F
ep-923141 CC(F)OC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-923142 CC(OC(F)C(F)(F)F)(C(F)F)C(F)(F)F
ep-923143 FCC(OC(F)C(F)F)(C(F)F)C(F)(F)F
ep-923144 FCC(F)OC(C(F)F)(C(F)F)C(F)(F)F
ep-923145 FCC(CF)(OC(F)C(F)(F)F)C(F)(F)F
ep-923146 FCC(OC(F)C(F)(F)F)(C(F)F)C(F)F
ep-923147 FC(F)C(F)OC(C(F)F)(C(F)F)C(F)F
ep-923148 CC(OCC(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-923149 FCC(OCC(F)F)(C(F)(F)F)C(F)(F)F
ep-923150 FCCOC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-923151 CCOC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-923152 FCC(OCC(F)(F)F)(C(F)F)C(F)(F)F
ep-923153 FC(F)COC(C(F)F)(C(F)F)C(F)(F)F
ep-923154 FC(F)C(OCC(F)(F)F)(C(F)F)C(F)F
ep-923162 CC(F)(CF)OC(F)(C(F)(F)F)C(F)(F)F
ep-923163 CC(F)(OC(F)(C(F)F)C(F)(F)F)C(F)F
ep-923164 FCC(F)(CF)OC(F)(C(F)F)C(F)(F)F
ep-923165 CC(F)(OC(F)(CF)C(F)(F)F)C(F)(F)F
ep-923166 FCC(F)(OC(F)(CF)C(F)(F)F)C(F)F
ep-923167 CC(F)(OC(F)(C(F)F)C(F)F)C(F)(F)F
ep-923168 FCC(F)(OC(F)(C(F)F)C(F)F)C(F)F
ep-923169 CC(OC(F)(C(F)(F)F)C(F)(F)F)C(F)F
ep-923170 FCC(CF)OC(F)(C(F)(F)F)C(F)(F)F
ep-923171 CC(OC(F)(C(F)F)C(F)(F)F)C(F)(F)F
ep-923172 FCC(OC(F)(C(F)F)C(F)(F)F)C(F)F
ep-923173 FCC(OC(F)(CF)C(F)(F)F)C(F)(F)F
ep-923174 FCC(F)(OC(C(F)F)C(F)F)C(F)(F)F
ep-923175 CC(F)(OC(C(F)F)C(F)(F)F)C(F)(F)F
ep-923176 FCC(OC(F)(C(F)F)C(F)F)C(F)(F)F
ep-923177 FC(F)C(OC(F)(C(F)F)C(F)F)C(F)F
ep-923178 FCC(F)(OC(C(F)F)C(F)(F)F)C(F)F
ep-923179 CC(F)(OC(C(F)(F)F)C(F)(F)F)C(F)F
ep-923180 FCC(F)(CF)OC(C(F)(F)F)C(F)(F)F
ep-923181 CC(OC(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-923182 FCC(OC(C(F)(F)F)C(F)(F)F)C(F)F
ep-923183 FCC(OC(C(F)F)C(F)(F)F)C(F)(F)F
ep-923184 FC(F)C(OC(C(F)F)C(F)(F)F)C(F)F
ep-923194 C=C(OC(F)(C(F)(F)F)C(F)(F)F)C(F)F
ep-923195 FC=C(CF)OC(F)(C(F)(F)F)C(F)(F)F
ep-923196 CC(OC(F)(C(F)(F)F)C(F)(F)F)=C(F)F
ep-923197 C=C(OC(F)(C(F)F)C(F)(F)F)C(F)(F)F
ep-923198 FC=C(OC(F)(C(F)F)C(F)(F)F)C(F)F
ep-923199 FCC(OC(F)(C(F)F)C(F)(F)F)=C(F)F
ep-923200 FC=C(OC(F)(CF)C(F)(F)F)C(F)(F)F
ep-923201 FCC(F)(OC(=C(F)F)C(F)F)C(F)(F)F
ep-923202 CC(F)(OC(=C(F)F)C(F)(F)F)C(F)(F)F
ep-923203 FC=C(OC(F)(C(F)F)C(F)F)C(F)(F)F
ep-923204 FC(F)=C(OC(F)(C(F)F)C(F)F)C(F)F
ep-923205 FCC(F)(OC(=C(F)F)C(F)(F)F)C(F)F
ep-923206 C=C(OC(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-923207 FC=C(OC(C(F)(F)F)C(F)(F)F)C(F)F
ep-923208 FCC(OC(C(F)(F)F)C(F)(F)F)=C(F)F
ep-923209 FC=C(OC(C(F)F)C(F)(F)F)C(F)(F)F
ep-923210 FC(F)=C(OC(C(F)F)C(F)(F)F)C(F)F
ep-923211 FCC(OC(=C(F)F)C(F)(F)F)C(F)(F)F
ep-923212 FC(F)=C(OC(C(F)F)C(F)F)C(F)(F)F
ep-923213 CC(F)(F)C(F)(OC(F)(F)CF)C(F)(F)F
ep-923214 CC(F)(F)OC(F)(C(F)(F)F)C(F)(F)CF
ep-923215 CC(F)(F)C(F)(OC(F)(F)C(F)F)C(F)F
ep-923216 FCC(F)(F)OC(F)(C(F)F)C(F)(F)CF
ep-923217 CC(F)(F)OC(F)(C(F)F)C(F)(F)C(F)F
ep-923218 CC(F)(F)C(F)(CF)OC(F)(F)C(F)(F)F
ep-923219 FCC(F)(F)C(F)(CF)OC(F)(F)C(F)F
ep-923220 FCC(F)(F)OC(F)(CF)C(F)(F)C(F)F
ep-923221 CC(F)(F)OC(F)(CF)C(F)(F)C(F)(F)F
ep-923222 CC(F)(OC(F)(F)C(F)(F)F)C(F)(F)CF
