ep-774387 FC(F)OC(F)OCC(F)(F)F
ep-774388 FCC(F)(F)OCOC(F)(F)F
ep-774389 FC(F)OCOC(F)(F)C(F)F
ep-774390 FCOCOC(F)(F)C(F)(F)F
ep-774391 FC(F)C(F)OCOC(F)(F)F
ep-774392 FC(F)OCOC(F)C(F)(F)F
ep-774393 FC(F)(F)COCOC(F)(F)F
ep-774394 C=C(F)OC(F)(F)OC(F)(F)F
ep-774395 FC=C(F)OC(F)(F)OC(F)F
ep-774396 FCOC(F)(F)OC(F)=C(F)F
ep-774397 FC=COC(F)(F)OC(F)(F)F
ep-774398 FC(F)=COC(F)(F)OC(F)F
ep-774399 FC=C(F)OC(F)OC(F)(F)F
ep-774400 FC(F)=C(F)OC(F)OC(F)F
ep-774401 FC(F)=COC(F)OC(F)(F)F
ep-774402 FC(F)=C(F)OCOC(F)(F)F
ep-774403 FC#COC(F)(F)OC(F)(F)F
ep-774464 COC(F)C(F)(F)OC(F)(F)F
ep-774465 FCOCC(F)(F)OC(F)(F)F
ep-774466 COC(F)(F)C(F)(F)OC(F)F
ep-774467 FCOC(F)C(F)(F)OC(F)F
ep-774468 FC(F)OCC(F)(F)OC(F)F
ep-774469 FCOC(F)(F)C(F)(F)OCF
ep-774470 FCOC(F)(F)C(F)OC(F)F
ep-774471 FCOC(F)(F)COC(F)(F)F
ep-774472 COC(F)(F)C(F)OC(F)(F)F
ep-774473 FCOC(F)C(F)OC(F)(F)F
ep-774474 FC(F)OCC(F)OC(F)(F)F
ep-774475 FC(F)OC(F)C(F)OC(F)F
ep-774476 FC(F)OC(F)COC(F)(F)F
ep-774477 FC(F)(F)OCCOC(F)(F)F
ep-774478 CC(F)(OC(F)(F)F)C(F)=CF
ep-774479 C=C(F)C(F)(CF)OC(F)(F)F
ep-774480 CC(F)(C=C(F)F)OC(F)(F)F
ep-774481 FC=CC(F)(CF)OC(F)(F)F
ep-774482 C=CC(F)(OC(F)(F)F)C(F)F
ep-774483 CC(F)(OC(F)F)C(F)=C(F)F
ep-774484 FC=C(F)C(F)(CF)OC(F)F
ep-774485 C=C(F)C(F)(OC(F)F)C(F)F
ep-774486 FCC(F)(C=C(F)F)OC(F)F
ep-774487 FC=CC(F)(OC(F)F)C(F)F
ep-774488 C=CC(F)(OC(F)F)C(F)(F)F
ep-774489 FCOC(F)(CF)C(F)=C(F)F
ep-774490 FC=C(F)C(F)(OCF)C(F)F
ep-774491 C=C(F)C(F)(OCF)C(F)(F)F
ep-774492 FCOC(F)(C=C(F)F)C(F)F
ep-774493 FC=CC(F)(OCF)C(F)(F)F
ep-774494 COC(F)(C(F)=C(F)F)C(F)F
ep-774495 COC(F)(C(F)=CF)C(F)(F)F
ep-774496 COC(F)(C=C(F)F)C(F)(F)F
