ep-932127 FCC(F)(F)C(F)(OC(F)(F)C(F)F)C(F)F
ep-932128 FCC(F)(F)OC(F)(C(F)F)C(F)(F)C(F)F
ep-932129 CC(F)(F)OC(F)(C(F)F)C(F)(F)C(F)(F)F
ep-932130 FCC(F)(F)C(F)(CF)OC(F)(F)C(F)(F)F
ep-932131 FCC(F)(OC(F)(F)C(F)F)C(F)(F)C(F)F
ep-932132 FCC(F)(F)OC(F)(CF)C(F)(F)C(F)(F)F
ep-932133 CC(F)(OC(F)(F)C(F)(F)F)C(F)(F)C(F)F
ep-932134 CC(F)(OC(F)(F)C(F)F)C(F)(F)C(F)(F)F
ep-932135 CC(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932136 FCC(F)C(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-932137 FCC(F)(F)OC(F)(C(F)C(F)F)C(F)(F)F
ep-932138 CC(F)(F)OC(F)(C(F)C(F)(F)F)C(F)(F)F
ep-932139 FCC(F)C(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-932140 FC(F)C(F)C(F)(OC(F)(F)C(F)F)C(F)F
ep-932141 FCC(F)(F)OC(F)(C(F)F)C(F)C(F)(F)F
ep-932142 FCC(F)(OC(F)(F)C(F)(F)F)C(F)C(F)F
ep-932143 FCC(F)(OC(F)(F)C(F)F)C(F)C(F)(F)F
ep-932144 CC(F)(OC(F)(F)C(F)(F)F)C(F)C(F)(F)F
ep-932145 FCCC(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932146 FC(F)CC(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-932147 FCC(F)(F)OC(F)(CC(F)(F)F)C(F)(F)F
ep-932148 FC(F)CC(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-932149 FC(F)C(F)(F)OC(F)(CC(F)(F)F)C(F)F
ep-932150 FCC(F)(CC(F)(F)F)OC(F)(F)C(F)(F)F
ep-932151 CC(F)(F)C(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-932152 FCC(F)(F)C(F)(OC(F)C(F)F)C(F)(F)F
ep-932153 FCC(F)OC(F)(C(F)(F)F)C(F)(F)C(F)F
ep-932154 CC(F)OC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932155 FCC(F)(F)C(F)(OC(F)C(F)(F)F)C(F)F
ep-932156 FC(F)C(F)OC(F)(C(F)F)C(F)(F)C(F)F
ep-932157 FCC(F)OC(F)(C(F)F)C(F)(F)C(F)(F)F
ep-932158 FCC(F)(OC(F)C(F)(F)F)C(F)(F)C(F)F
ep-932159 FCC(F)(OC(F)C(F)F)C(F)(F)C(F)(F)F
ep-932160 CC(F)(OC(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-932161 FCC(F)C(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-932162 FC(F)C(F)OC(F)(C(F)C(F)F)C(F)(F)F
ep-932163 FCC(F)OC(F)(C(F)C(F)(F)F)C(F)(F)F
ep-932164 FC(F)C(F)C(F)(OC(F)C(F)(F)F)C(F)F
ep-932165 FC(F)C(F)OC(F)(C(F)F)C(F)C(F)(F)F
ep-932166 FCC(F)(OC(F)C(F)(F)F)C(F)C(F)(F)F
ep-932167 FC(F)CC(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-932168 FC(F)C(F)OC(F)(CC(F)(F)F)C(F)(F)F
ep-932169 FC(OC(F)(CC(F)(F)F)C(F)F)C(F)(F)F
ep-932170 FCC(F)(F)C(F)(OCC(F)(F)F)C(F)(F)F
ep-932171 FC(F)COC(F)(C(F)(F)F)C(F)(F)C(F)F
ep-932172 FCCOC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932173 FC(F)C(F)(F)C(F)(OCC(F)(F)F)C(F)F
ep-932174 FC(F)COC(F)(C(F)F)C(F)(F)C(F)(F)F
ep-932175 FCC(F)(OCC(F)(F)F)C(F)(F)C(F)(F)F
ep-932176 FC(F)C(F)C(F)(OCC(F)(F)F)C(F)(F)F
ep-932177 FC(F)COC(F)(C(F)C(F)(F)F)C(F)(F)F
ep-932178 FC(F)C(F)(OCC(F)(F)F)C(F)C(F)(F)F
