ep-935987 FC(C(OC(F)(F)C(F)F)C(F)(F)F)C(F)(F)F
ep-935988 FC(F)C(OC(F)(F)C(F)(F)F)C(F)C(F)(F)F
ep-935989 FC(F)(F)CC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-935990 FC(OC(C(F)(F)F)C(F)(F)C(F)F)C(F)(F)F
ep-935991 FC(F)C(F)OC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-935992 FC(F)C(OC(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-935993 FC(OC(C(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-935994 FC(F)(F)COC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-935996 FC=C(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-935997 FC(F)=C(F)C(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-935998 FC(F)=C(F)C(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-935999 FC(F)=CC(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-936000 FC(F)=C(F)C(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-936001 FC(F)=C(F)C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-936002 CC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-936003 FCC(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-936004 FC(F)CC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-936005 FCC(F)(F)C(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-936006 FC(F)C(F)C(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-936007 FC(F)C(F)(OC(F)(F)CC(F)(F)F)C(F)(F)F
ep-936008 FCC(F)(OC(F)(F)C(F)(F)C(F)F)C(F)(F)F
ep-936009 FCC(F)(OC(F)(F)C(F)C(F)(F)F)C(F)(F)F
ep-936010 CC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-936011 FC(F)C(F)(OC(F)(F)C(F)(F)C(F)F)C(F)F
ep-936012 FC(C(F)(F)F)C(F)(F)OC(F)(C(F)F)C(F)F
ep-936013 FCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)F
ep-936014 FCC(F)(F)C(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-936015 FC(F)C(F)C(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-936016 FC(CC(F)(F)F)OC(F)(C(F)(F)F)C(F)(F)F
ep-936017 FC(F)C(F)(F)C(F)OC(F)(C(F)F)C(F)(F)F
ep-936018 FC(OC(F)(C(F)F)C(F)(F)F)C(F)C(F)(F)F
ep-936019 FCC(F)(OC(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-936020 FC(F)C(F)(OC(F)C(F)(F)C(F)(F)F)C(F)F
ep-936021 FC(F)C(F)(F)COC(F)(C(F)(F)F)C(F)(F)F
ep-936022 FC(COC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-936023 FC(F)C(F)(OCC(F)(F)C(F)(F)F)C(F)(F)F
ep-936024 FCC(F)(F)C(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-936025 FC(F)C(F)C(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-936026 FC(F)(F)CC(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-936027 FC(F)C(OC(F)(F)C(F)(F)C(F)F)C(F)(F)F
ep-936028 FC(F)C(OC(F)(F)C(F)C(F)(F)F)C(F)(F)F
ep-936029 FCC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-936030 FC(F)C(OC(F)(F)C(F)(F)C(F)(F)F)C(F)F
ep-936031 FC(F)C(F)(F)C(F)OC(C(F)(F)F)C(F)(F)F
ep-936032 FC(OC(C(F)(F)F)C(F)(F)F)C(F)C(F)(F)F
ep-936033 FC(F)C(OC(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-936034 FC(F)(F)C(OCC(F)(F)C(F)(F)F)C(F)(F)F
ep-936036 FC=C(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-936037 FC(F)=CC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
