EP ID,SMILES,CAS,IUPAC name,Binding energy (eV),Formation energy in solvent (eV/atom),Formation energy in vaccum (eV/atom),LUMO_sol (eV),HOMO_sol (eV),LUMO_cls (eV),HOMO_cls (eV),LUMO change (eV),HOMO change (eV),Dielectric constant of solvents,Dielectric constant of electrolytes,Viscosity of solvents (mPa s),Viscosity of electrolytes (mPa s),Diffusivity of Li (m^2/s),Diffusivity of FSI (m^2/s),Diffusivity of solvens (m^2/s),Transference number of Li,Similarity of solvents
ep-1007,COCCOC,110-71-4,1,-1.535728653,-0.333227343,-0.315610696,8.426003817,-7.789257525,6.320115119,-9.811063059,-2.1058886980000002,-2.021805534,6.2072,13.0431,0.30022836,0.58117807,5.15e-10,5.170000000000001e-10,3.75e-09,0.498951718,0.316583176
ep-12130,CCC(C)OCOC,91508-78-0,None,-0.8755288729999999,-0.237184535,-0.22187566,7.701636881000001,-7.939464342999999,5.656973787999999,-8.673083147,-2.044663093,-0.733618805,8.9721,13.6576,0.74006612,2.01351735,3.71e-10,3.76e-10,2.37e-09,0.497243826,0.11132913400000001
ep-1218,C=C(OC)OC,922-69-0,1,-0.683650548,-0.304630434,-0.285411814,6.3421563370000005,-8.780295985,1.883571724,-9.325339926,-4.458584613,-0.545043941,11.6091,8.418,0.37613625,1.24591392,5e-10,8.14e-10,1.6800000000000002e-09,0.380434813,0.174678053
ep-133725,CCOC(C)(OC)OC,57999-64-1,None,-1.506370295,-0.365624774,-0.349875537,8.080691405,-8.007220679,5.795207598999999,-10.17515132,-2.285483806,-2.167930645,4.0088,9.7482,0.70523435,1.70339091,1.76e-10,1.7500000000000002e-10,6.990000000000001e-10,0.5013271260000001,0.08697089599999999
ep-22,COC,115-10-6,methoxymethane,-1.7716431540000002,-0.31332061899999997,-0.308421966,8.280967162,-7.96150556,1.95704245,-14.03998362,-6.323924712,-6.078478064,1.0091,1.0071,0.00149413,0.00170895,1.12e-05,1.12e-05,0.000802422,0.500022017,0.027104922000000004
ep-2957,COCOC(C)C,25186-96-3,2-(methoxymethoxy)propane,-1.189667928,-0.281605783,-0.271709577,7.643948756,-7.951981577000001,5.605816394,-10.13406214,-2.038132362,-2.182080562,1.4508,1.3934,0.93318268,2.6969726,9.39e-09,1.16e-08,2.49e-08,0.44699922299999995,1.456102845
ep-399,C1COCO1,646-06-0,1,-0.995299762,-0.442736466,-0.42720717799999997,7.5179600660000006,-8.214571394,3.827552711,-11.9335507,-3.690407356,-3.718979305,1.9911,1.6128,0.57995853,1.3536313999999998,1.3e-09,1.26e-09,8.19e-08,0.507731386,0.848754255
ep-4149,COCCCOC,17081-21-9,1,-2.072628228,-0.26377703,-0.253080523,8.368043578,-7.770753787,4.553280215,-11.22605482,-3.814763362,-3.455301032,1.8527,33.6329,0.56813345,1.90317105,1.12e-10,9.940000000000001e-11,1.14e-09,0.529274366,0.511448366
ep-4572,CCOC(C)OC,10471-14-4,1-ethoxy-1-methoxyethane,-2.217795498,-0.285327297,-0.27548307899999996,8.064636691,-7.978920844,3.866737098,-12.25083539,-4.197899593,-4.2719145460000005,1.3933,1.3168,0.72797684,0.76854923,1.31e-08,1.3600000000000001e-08,1.04e-07,0.489354,1.478633708
ep-49,CCOC,540-67-0,None,-1.2160031009999999,-0.22633077699999998,-0.213400383,8.371036829,-7.7536106170000005,4.825666129,-10.96128809,-3.5453707000000003,-3.2076774739999996,2.4138,8.4303,0.14970909,0.38378999,1.55e-09,1.7000000000000001e-09,6.34e-09,0.476132294,0.061269618
ep-5280,CCOCOCC,462-95-3,ethoxymethoxyethane,-0.999370584,-0.291791575,-0.270979023,8.037969537999999,-7.920960603999999,6.84366207,-9.180303271,-1.1943074679999999,-1.259342666,73.4917,23.6095,1.38909914,3.25903005,2.85e-10,3.36e-10,5.72e-10,0.459230363,1.698873895
ep-5701,COCOCOC,628-90-0,methoxy(methoxymethoxy)methane,-2.329778491,-0.500847244,-0.49251175799999997,7.868442641000001,-8.183550421,3.9165339230000003,-12.02688573,-3.951908717,-3.843335311,1.6683,1.4833,1.93214721,1.15318252,8.23e-09,8.07e-09,7.47e-08,0.5050450320000001,1.209393447
ep-7324,CC1(C)OCCO1,2916-31-6,None,-1.480816088,-0.279684888,-0.268931111,7.497279418,-8.113617175,2.714063041,-13.07234695,-4.783216376,-4.958729777,1.2516,1.1968,1.89587237,2.40009495,1.4000000000000001e-09,1.32e-09,4.4100000000000004e-08,0.515029705,0.55348809
ep-7523,CC1OCOC1C,1072-57-7,None,-1.361491466,-0.27483662,-0.263604243,7.682588915,-8.018921572,2.7984183189999996,-11.30959376,-4.884170596000001,-3.2906721830000003,1.4158,1.6655,1.23208235,4.13595873,1.0800000000000002e-09,1.3800000000000002e-09,1.23e-08,0.43784686899999997,0.089304769
ep-896,COC(C)OC,534-15-6,1,-1.852613337,-0.35033275700000005,-0.339965561,7.956335397999999,-8.000417834,4.613689479,-11.59123154,-3.3426459189999997,-3.590813705,1.8349,1.419,0.64961317,0.70930216,3.1e-09,3.08e-09,1.3800000000000002e-07,0.5013241070000001,1.03031748
ep-9718,COC1OCCO1,19693-75-5,None,-1.7568537690000001,-0.532660062,-0.519468166,7.380542597000001,-8.231986678,3.7238773530000002,-11.14850239,-3.6566652439999996,-2.916515708,1.7959,1.587,1.8130810000000002,3.50276388,2.0499999999999997e-09,2.4e-09,1.76e-08,0.460815433,0.186911749
