EP ID,CAS ID,Smiles,Binding energy (eV),Formation energy in solvent (eV/atom),Formation energy in vaccum (eV/atom),LUMO_sol (eV),HOMO_sol (eV),LUMO_cls (eV),HOMO_cls (eV),LUMO change (eV),HOMO change (eV),Dielectric constant of solvents,Dielectric constant of electrolytes,Viscosity of solvents (mPa s),Viscosity of electrolytes (mPa s),Diffusivity of Li (m^2/s),Diffusivity of FSI (m^2/s),Diffusivity of solvens (m^2/s),Transference number of Li,Similarity of solvents
ep-4149,17081-21-9,COCCCOC,-2.072628228,-0.26377703,-0.253080523,8.368043578,-7.770753787,4.553280215,-11.22605482,-3.814763362,-3.455301032,1.8527,33.6329,0.56813345,1.90317105,1.12e-10,9.94e-11,1e-09,0.529274366,
ep-2361,626-91-5,COCCC(C)C,-1.67424002,-0.091844364,-0.082027016,8.369948374,-7.814019881,3.626732726,-12.3161427,-4.743215648,-4.502122821,1.3781,10.8028,0.29808829,0.64723952,1.65e-10,1.86e-10,3e-09,0.470327306,
ep-4572,10471-14-4,CCOC(C)OC,-2.217795498,-0.285327297,-0.275483079,8.064636691,-7.978920844,3.866737098,-12.25083539,-4.197899593,-4.271914546,1.3933,1.3168,0.72797684,0.76854923,1.3e-08,1.4e-08,1.04e-07,0.489354,
ep-6351,53778-61-3,CC1OC(C)C1C,-1.873296707,-0.033325048,-0.021484804,7.621635424,-7.495374621,2.623177032,-12.0064772,-4.998458392,-4.511102576,1.3359,18.5745,0.60461096,1.56588414,2.18e-10,2.27e-10,8.77e-10,0.490625476,
ep-7523,1072-57-7,CC1OCOC1C,-1.361491466,-0.27483662,-0.263604243,7.682588915,-8.018921572,2.798418319,-11.30959376,-4.884170596,-3.290672183,1.4158,1.6655,1.23208235,4.13595873,1e-09,1e-09,1.2e-08,0.437846869,
ep-2743,2679-87-0,CCOC(C)CC,-1.858803926,-0.099034258,-0.088868216,8.239877978,-7.643404528,3.257202186,-12.27151604,-4.982675792,-4.62811151,1.2965,12.0614,0.275645,0.5249278,4.25e-10,4.39e-10,3e-09,0.492131153,
ep-7324,2916-31-6,CC1(C)OCCO1,-1.480816088,-0.279684888,-0.268931111,7.497279418,-8.113617175,2.714063041,-13.07234695,-4.783216376,-4.958729777,1.2516,1.1968,1.89587237,2.40009495,1e-09,1e-09,4.4e-08,0.515029705,
ep-3941,628-81-9,CCCCOCC,-1.721073526,-0.099562677,-0.08832982,8.491039015,-7.781638339,3.87979856,-12.14743215,-4.611240455,-4.365793807,1.3815,13.081,0.26099985,0.44862781,1.87e-10,1.86e-10,4e-09,0.501354112,
ep-6795,23850-78-4,CC(C)CC1CO1,-1.618562815,-0.01690026,-0.004996427,6.524744696,-7.897830931,1.832686443,-12.28076791,-4.692058253,-4.382936977,1.532,1.3937,0.81889091,1.03283571,1e-08,1e-08,9e-08,0.490998321,
ep-12065,1860-27-1,CCCCOC(C)C,-0.931162539,-0.080648458,-0.065224707,8.315797728,-7.577280875,6.384606089,-9.19962335,-1.931191639,-1.622342476,11.9009,17.6784,0.40971076,0.98928975,1.73e-10,1.65e-10,2e-09,0.512194752,
